,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,7,1,0.09308421869013936,1.0,0.688162647986061,0.9999999999999999,0.6286611849270852,0.28204245640238823,0.7177487469433327,0.386387265571269,0.13495882097962714,0.1873143642618708,0.8746186612934584,0.0,0.013576677619345862,0.0403882304105621,0.002930110451987881,0.007941325876850477,0.046743956275937484,0.10146312549018391,0.6194222179568207,0.02242856587260632,0.20769726352703582,0.04028210874032441,0.4800997935952882,0.3000000012,0.30494911678796394,0.5014442998556045,0.010039594862556447,0.04932213519549558,0.9995891684413745,0.3069037492442319,0.11083056618408225,0.538152610441767,0.18955248833508115,0.7974848460055903,0.2286262596602174,0.037624306232841485,0.4359771282061825,0.23598849782864234,0.20991812755718056,0.43906679094596784,0.6198402866151584,0.6915296230480283,0.3005066461253024,0.5919060212390381,0.1835631701551392,0.02695361674006729,0.20559229688052144,0.2151614924974937,0.09145453379865079,0.02695361674006729,0.6487959028004795,0.08656129762795152,0.00026037675584410995,0.009084333888037933,0.05317395209328406,0.07240734893677356,0.06483887346023494,0.03263822333987691,0.029956647178661488,0.6977153760677788,0.29672544033180814,0.040593760953496316,0.07629883798424075,0.23677128233938524,0.0007990877005505936,0.7933128795942646,0.671134372660529,0.6143990715324281,0.4133530474016018
000002.XSHE,7,1,-0.06831293525552698,0.6858046369554,0.37450751362979084,0.3938810907172909,0.6756555816173332,0.27480210943272904,0.6102603360463514,0.4734732548622659,0.06299115224763502,0.2524390539906973,0.9270030224296092,0.033537780746131486,0.058157401292904184,0.024822678028687976,0.03963528645293013,0.2061430112440847,0.6745194798664207,0.019001811976704447,0.879137511029206,0.06852045754551117,0.17526625472650395,0.060085203883119144,0.5644902787726473,0.20000000480000002,0.35861069198967743,0.4997459018714932,0.007259575042829224,0.030228681073259725,0.9995890162118481,0.2616508069388953,0.07985931426447236,0.5983935742971886,0.1370847799135417,0.9178199375095148,0.16897290863832473,0.04286091962665689,0.41616657140757507,0.12304176322433391,0.2038171586550563,0.10566220393189887,0.6287523931397144,0.24919731530593808,0.16696104313755,0.5140689195994748,0.11999227829260761,0.02600004938770599,0.21907635313637192,0.19590732984083703,0.40930098010179833,0.02600004938770599,0.6243962631624991,0.10507592214036884,0.0002067603847636444,0.00906077216535374,0.04272692350109413,0.0604441319339048,0.018121163346077683,0.011979132050301114,0.029375232355172642,0.6566602805875488,0.3238642856127823,0.037026177241362604,0.07424517779683854,0.18563668597289074,0.0005475916342087444,0.8612798196731575,0.6950872745898953,0.6464276166941598,0.26062227849061187
000004.XSHE,7,1,-0.02927241917317581,0.5221873222153129,0.04088681780789016,0.2997303872463436,0.7044786285429228,0.026014193258792673,0.48401208219179925,0.4651955503976431,0.14415546886288105,0.36761550348776956,0.0,0.00019954611507851992,0.010581884360951201,0.004746812552742493,4.318888418655354e-05,0.00020921254863447337,0.00027276378432402855,0.0011126767803329492,0.617457008987545,0.022817375954120166,0.15084492955317055,0.0033589359634665574,0.006135897563564115,0.5000000059999999,0.004601273988570411,0.4992562709379443,0.0011980772210189732,0.04359724450316127,0.9995890699357363,0.20250942581683973,0.17041157294430093,0.34136546184738953,0.19869444100666783,0.649476432470611,0.2987462557284378,0.0934784802969516,0.4983349562750317,0.27598012980345055,0.21140710528224446,0.041801595776500465,0.5690593660569147,0.10500914582900761,0.029340470016059567,0.5205002823178455,0.08929369641933348,0.00422105307069085,0.10969776502288339,0.11766278066946846,0.03490808002513435,0.00422105307069085,0.5771823926012214,0.07604809458072015,0.0003268819696637794,0.008904106901506217,0.06131341951000976,0.07013906891576713,0.04136196064216159,0.03732278099700062,0.02928546888131329,0.7054177469890858,0.29842538124484996,0.05300240970825289,0.1366165454517227,0.23828765556243292,0.0005657423381915159,0.8416423245393143,0.6857293896688952,0.5770810648688474,0.6486718650405134
000005.XSHE,7,1,-0.01024911464319403,0.5298756830239604,0.19181793562957625,0.31833374902380873,0.22298533003654886,0.09299560578597763,0.2278573478092545,0.21039787418578673,0.7923646701853693,0.127752305981777,0.15819635187443648,0.0004949767151470527,0.013576677619345862,0.004674910747012744,3.800067604833801e-05,0.00034933319526955255,0.0014333630338126844,0.0011446429671470532,0.6164537457331601,0.022161996540826144,0.1507265060742269,0.0028974221998176227,0.004636744714373914,0.5000000059999999,0.0028250123178745956,0.49959032817634297,0.0028213271116084046,0.013054008996256802,0.9995890677019922,0.2940092174215028,0.10677173630209343,0.9919678714859437,0.1875365037594801,0.8142559914331904,0.2632811875870703,0.024087095492376663,0.49725815586394906,0.2741321903674569,0.20855287577488704,0.06491282776391216,0.5690593660569147,0.08341459863068738,0.023964419545289675,0.5174815449563066,0.07957762899895382,0.0002843373396364922,0.1009544530347506,0.10733001554259868,0.043319927288409756,0.0002843373396364922,0.49417941669851295,0.10530163345113816,0.00020633461699423147,0.009149997786254686,0.09484570463073431,0.058642805071498674,0.024785343219905276,0.0028308371343773427,0.034283123640629534,0.650319514929501,0.31252373685846735,0.05025955266753841,0.029646524689987658,0.11698321678383974,0.00023345541665031785,0.8686015141574537,0.6554525276139698,0.5923512267638602,0.5352386328971648
000006.XSHE,7,1,-0.009674401999515813,0.6672350263948241,0.3775031551624589,0.7578210186733612,0.5356328785947349,0.18552987159917628,0.34111609954528876,0.46267238667119487,0.9975874788580363,0.12306944155234169,0.3520282093430192,0.0007339813551760445,0.011903104534635063,0.0053211614297621265,0.0013637712862188155,0.0005622939568177825,0.012321661064586886,0.0013638218089273156,0.6265464888514021,0.022356678185786523,0.15168337128789966,0.005314825883647733,0.014426592331160325,0.5000000059999999,0.008593850839379174,0.49929058769953705,0.0012127356800131028,0.014909880154760781,0.9995890555786359,0.21724020572528052,0.10167669573141842,0.646586345381526,0.17686817827513357,0.8662471636424268,0.24689690352238985,0.039295735041087035,0.4954174403839893,0.27191524286751895,0.2065796603082909,0.08314169313720778,0.6407948429201561,0.14503416989579598,0.0757625758151742,0.5280202870584728,0.09230015420327804,0.004573538897759286,0.141759760366978,0.13983294876499208,0.15185034678935733,0.004573538897759286,0.6574673057413896,0.08953908399397294,0.0002482274478378516,0.00907813399745276,0.042023398249906724,0.06369721393389033,0.02172294836819462,0.016286276696027016,0.029250940905723943,0.6993499628227828,0.3561900178954744,0.055218467052451814,0.06376069613893978,0.122747320569183,0.00039318546359890075,0.8781119583593087,0.6648498141556893,0.590853225185987,0.2923168768438697
000007.XSHE,7,1,-0.03244675476118803,0.5894480240265667,0.03483994256837886,0.23569519121080407,0.33800195868565946,0.1480259833497613,0.5944509368237443,0.3888500067146726,0.9661201628462395,0.5116645779652003,0.25852687487848414,0.0005296838204354842,0.010398234901393955,0.00467912801003293,9.626966161591644e-05,0.0015516266350958062,0.00038694944453676887,0.00113031537704304,0.6174444678894648,0.02153338342612516,0.15070513153511,0.0029911013555555966,0.030491248719142564,0.5000000059999999,0.0346878385910829,0.5011518975204771,0.004054933171071941,0.07190714353118807,0.9995891804010506,0.4424414100096271,0.17796102645795198,0.791164658634538,0.2214271911483404,0.4834385715632045,0.32037128245962876,0.05669468142584278,0.49707483548191544,0.28423011901110534,0.21346138257341427,0.16262795168372446,0.574411893532571,0.10012823036523094,0.03690770407753771,0.5234981830807139,0.07268456665469104,0.0025653987645012704,0.0777310763685901,0.08577159881035634,0.010321029830083548,0.0025653987645012704,0.6745737583395107,0.13010623473068914,0.0001744499022797447,0.009101363984592244,0.05907224371919355,0.0615859695092288,0.035056065539000335,0.010976498667034804,0.028994735371849507,0.6972233489435452,0.2677930323086019,0.03278240784600617,0.09412776027518524,0.17764200586179543,0.0009342481269798268,0.7817293845094231,0.6706582697434955,0.5509092331666352,0.746344057010158
000008.XSHE,7,1,0.02070326630918694,0.3536063003585462,0.1013222557750969,0.3193978076075445,0.9218684227022949,0.08161566770922063,0.6612200335376767,0.69982098625945,0.9302157967651734,0.7308954077950084,0.22811257224667258,0.0012352435907888887,0.010617387778798084,0.004774151709427526,0.00011314583860077204,0.00022374622432911017,0.00034209325515758985,0.0011092363945863202,0.6174842366859112,0.02213152984815998,0.15087700643454963,0.0033069213452298347,0.027397176380921016,0.8000000072000001,0.02238621573518529,0.4989488274789541,0.008899601153587238,0.16105187002610802,0.999589227450668,0.6193258334390888,0.18221653395078263,0.02409638554216867,0.33641321930047396,0.19287231497524304,0.5085156204425567,0.15068358339925042,0.5785040087470301,0.3469791592447827,0.23372683871683397,0.15812866418027552,0.5690593660569147,0.09877545663978197,0.0529731868280502,0.5236272575792225,0.0845576685274182,0.004865896113431,0.10754596394180638,0.11863749699407755,0.003908168503971216,0.004865896113431,0.6467623437037173,0.05505327882515584,0.0016508690255712898,0.009089815475212247,0.07362992645766789,0.09748808811843584,0.18125699064071682,0.025246653034688937,0.030026704749256575,0.7226579591441371,0.3015059412468589,0.03134336725731521,0.2160099067657842,0.2040664813890742,0.0007885114831624212,0.5758848238519272,0.4895454366356269,0.41468563157311356,0.6260274900766074
000009.XSHE,7,1,-0.03016253455661403,0.6685128021512774,0.12429653928496609,0.31851250955747357,0.5835394650680934,0.17373010102229788,0.7258489294614536,0.44355214326857384,0.8161227126307826,0.3794742604272193,0.5259774289905792,0.0059358968368477755,0.013466953528722358,0.005823175172833098,0.0013645416904143873,0.019822998254698423,0.007402190309488622,0.001534072499620205,0.6236575980655665,0.033856283207120814,0.15176154334319572,0.005108688363341951,0.18910479637601707,0.6999999988000001,0.10358539483352952,0.4662797006247537,0.04631574978623082,0.07373155924632757,0.999589750634041,0.5263502720434069,0.18667069831573574,0.11244979919678715,0.24202996727960413,0.32956015356461926,0.3022674175240858,0.11249877722613463,0.5392829790931051,0.2613249509894732,0.21916557517630944,0.07599845125898007,0.587682362642183,0.13234499055754953,0.0694875163998298,0.520216318421127,0.09619563837191317,0.016050615729051435,0.14062680894433574,0.1523546340968851,0.02263574746338592,0.016050615729051435,0.6212607452495292,0.08114723704056742,0.00028872685689066574,0.008968119524362817,0.054773391785864475,0.061195783175739114,0.025011482479565247,0.012132400847743096,0.02939527514485316,0.6518974139956951,0.2885913382633974,0.037608072465772274,0.16374528056106208,0.20283405233688653,0.0007030763368727407,0.784291092823133,0.5431579085619722,0.5061745701599392,0.5493923237446854
000010.XSHE,7,0,-0.07893890269714399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,7,1,-0.05185016451196051,0.8734218508130134,0.21693456167512298,0.524117216536576,0.6880653323058586,0.31291630518525126,0.7916282535265005,0.4970693153098514,0.9994845185581818,0.23373037823594367,0.32212294748749487,0.0013382005143667524,0.016010763514174856,0.00706585651735228,0.0006443142351916185,0.0010661250444292765,0.004244243171960129,0.0011924186758753806,0.6202251095111061,0.022218798636821354,0.1540444803383228,0.004725182214187638,0.03353687402630222,0.6000000024,0.020498941538833953,0.4892492856979759,0.016944280303036352,0.13378000062910886,0.9995891192360504,0.24865522508037075,0.14289059742491422,0.20080321285140562,0.19771087502632612,0.7429770699066992,0.2734468835711682,0.06673937013220005,0.4923973834343195,0.27414970430318386,0.2103319695036883,0.04983273097806505,0.584628206839432,0.12209501055702818,0.08378131470412596,0.5291116992643676,0.17449815561655652,0.030080386368166605,0.1592013544774788,0.16994838914961038,0.04573004841964612,0.030080386368166605,0.5849375428774017,0.07842410127501041,0.00030730221113431133,0.0090828928946305,0.04493960473832764,0.06135274458914303,0.042734638881098415,0.015316131759997964,0.030693545007495427,0.7750104156748616,0.3907100043546369,0.04615684927355315,0.10152761539670598,0.1729089349101972,0.0006781903102660758,0.826657283718043,0.6860938546605553,0.5748022768319956,0.4520777160560357
