,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,8,1,0.1701838286805616,0.4226222236956131,0.6112071385371737,1.0,0.6320181546268983,0.25057500926187404,0.35666032660807695,0.25735051961555744,0.370799485121419,0.21487928115204813,0.7596663674505428,0.002664630122305815,0.05970395167438703,0.09553078978096184,0.0193651292944955,0.04594754857092221,0.04716840556654436,0.23902589030866786,0.5002298680354489,0.3749783160726826,0.3617454438263065,0.11003395755778152,0.0,0.0,0.0,0.4799866268962488,3.4775418041387366e-06,0.0,0.542506775047781,0.2495749179596458,0.20873614232688054,0.7836734693877552,0.1773467582864099,0.7586211183856754,0.31068715449914447,0.14729583462423745,0.0,0.5954119383008905,0.8358945382317444,0.5769837399647779,0.800162560167734,0.49427244382321384,0.6695016252347908,0.0,0.6946387614262466,0.08715942800135415,0.5342054974378788,0.5539138157771285,0.25569427650434656,0.08714115192974876,0.4653427772016556,0.08273697317241842,0.004603675525639853,0.5003792625252246,0.10806436116250695,0.4999769857378765,0.17806222924979165,0.46433324232912365,0.5008782072505225,0.5334140981137264,0.49824067242784886,0.18928650243328057,0.058689022963192894,0.3691387159564244,0.18835243787167377,0.8847257532703976,0.9586428258534081,0.7129746197568605,0.5425149533285853
000002.XSHE,8,1,0.2655526036709312,0.537057333042014,0.5209562147405444,0.3331274469839316,0.5985147155997513,0.23461737414636405,0.5401736117999485,0.2671307820368446,0.2151409420256118,0.3932764593346645,0.8382112570976211,0.12309975997863608,0.36793252770469825,0.09245166758674014,0.16484556067884668,0.4959617018132755,0.957087212645993,0.04520229002194487,1.0,0.7286769001980544,0.3891569788101202,0.21846984352250126,1.0,0.5454545434710744,0.9020125765182782,0.4919341462484513,0.026199577394795854,0.058081216816710815,0.5418310667012024,0.004580371302713493,0.2307733039897223,0.6857142857142857,0.18421372030760083,0.6594830489069676,0.25863277072076357,0.22350286862091476,0.436903926691327,0.4051991923595724,0.36712654387528487,0.17256835221162384,0.40804913046645575,0.4973250896135553,0.27556289909825815,0.4508478030573152,0.5527564550722514,0.05799201916689846,0.4648081095713146,0.43407540962304814,0.552421454436861,0.057979859079124375,0.44506445811342804,0.1500089131659209,0.0012275123706159666,0.49670037650472804,0.06478132788184415,0.4989067116857197,0.03560485279076153,0.45656195514689435,0.4957274970256958,0.5110013082383049,0.5422468599859083,0.13224580885123283,0.1661351496417059,0.5832695247072676,0.21773430977374086,0.8557070173581152,0.8063342315114488,0.6332235232738097,0.5346494879324432
000004.XSHE,8,0,0.05864905208883195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.XSHE,8,1,0.04706726563793565,0.7556294750212149,0.18049896972213936,0.3573411618150695,0.4052224103258858,0.10883886956161348,0.5600728817426152,0.36418237325562874,0.9662650773359867,0.2879361200093499,0.27351288929310075,0.007141683944167045,0.05970395167438703,0.005783203213700789,9.516561440422091e-05,0.005174787068703793,0.00741687308041492,0.0006947415631291098,0.48576135334314485,0.32695317993132506,0.26576003501849516,0.01923403631170326,0.15785481254527897,0.6363636304132232,0.19650220088663667,0.5421341220969139,0.07989253894506841,0.21982219075390663,0.5387985946119742,0.24096218146320939,0.2384001090475099,0.5061224489795918,0.22748694230954986,0.6616381342348774,0.31923212488567954,0.1558477006954535,0.4039268751752491,0.32994131619027645,0.3651100447968487,0.10541271433501867,0.49838683830466707,0.4898991075820104,0.054649609630457695,0.48573968362223074,0.4311438320469846,0.0008703873593989027,0.2487737997370542,0.26643574988174834,0.11306792901892744,0.000870204851756648,0.5074706918762709,0.18615802516114013,0.0009908675514483107,0.5267769983618009,0.9954356145941787,0.4919301280758154,0.025595945960709944,0.4010063060457843,0.47716399858606007,0.4819199935788691,0.28218630189522514,0.11939236389284591,0.1142926633338462,0.5402130799001267,0.3629737682688567,0.8195646898302662,0.777322709129562,0.5894512119045516,0.6128041473208722
000006.XSHE,8,1,0.06300700990137939,0.8946144751659697,0.3908702416614791,0.521362442249479,0.42269934613243876,0.28504692199029713,0.7081531334933641,0.6123061935619207,0.9995255596954536,0.40102853485875745,0.3371311438423468,0.007952473876977683,0.04955146880354843,0.00895746483179003,0.005610715931829157,0.016502555624741528,0.015737516460689233,0.002631140610569973,0.5609424876308007,0.32076492201867757,0.270540920538603,0.030000191264740107,0.4724706366925368,0.6363636304132232,0.2672098755375175,0.48031676254799577,0.04248669994734112,0.2552133650101029,0.5405536452629289,0.16645153195829726,0.15655353303792535,0.163265306122449,0.10194228382593715,0.9806031959500975,0.2340330259154406,0.3796470616704517,0.506944706411792,0.22742667825415244,0.32943161938451815,0.16715100318325332,0.48401278555238836,0.48765550233152,0.20080904250622716,0.521743358403911,0.4866392475334356,0.04449605797788952,0.37766416020938454,0.3619432143150906,0.405119415247148,0.04448672779800641,0.5448781378599347,0.09351397135850954,0.004776628703965671,0.5011833455912402,0.0619026993935102,0.4921106568841295,0.0364482136760219,0.550282429646182,0.487223759327093,0.5170681747509306,0.5423382502674198,0.13288302237929334,0.31432068915222844,0.6105899606213028,0.5046564834444384,0.8943602259868695,0.7083966164358291,0.6048294847202356,0.6101302816115856
000007.XSHE,8,0,0.04312958373415218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.XSHE,8,0,-0.01026279169212168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,8,1,0.1138516139756822,0.8952040826322439,0.2112563279958417,0.3922216963941752,0.5961696820289849,0.20590904128758072,0.5575281789566264,0.38007017410584987,0.929160298303233,0.23147563413834568,0.4613194160598011,0.02651664883218171,0.06255351439100863,0.014422580991562722,0.009620733014193078,0.03157033406572465,0.029559569138210666,0.002957732813246961,0.539089245827914,0.39561757069198417,0.2739346393280988,0.031545833584289265,0.276785561927531,0.8181818152066116,0.31621270587812284,0.550060825264349,0.15455494704427128,0.14169700047994824,0.5734078221423878,0.5207100582555209,0.3610432715570344,0.4244897959183674,0.39479350987624995,0.23329731163466333,0.5091291451060325,0.2540525222672193,0.6184125127393826,0.4297651975945353,0.4411308229378928,0.10592449275620552,0.45384450135722676,0.44911831964111926,0.15425624789305603,0.42536658886868645,0.5139756863395565,0.047140611755920776,0.36558195784532266,0.4003423699845099,0.0635342761998359,0.04713072705135434,0.3624839193404048,0.14175609071245954,0.0013221833493327465,0.4904849104472453,0.11348520047804153,0.4523682394518992,0.06025250146456332,0.4707127524800726,0.5026920795506674,0.5263766960416711,0.5271999164119862,0.11114661244416993,0.19944305256192182,0.4875985754144281,0.39336195606655827,0.6638269631755893,0.5303944885318952,0.4598072624600058,0.7709653147852767
000010.XSHE,8,0,0.01676423533490537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,8,1,0.04041732337695526,0.7266522734484588,0.174405852438708,0.5011737122068869,0.5472487325851364,0.48381064341578683,0.8070991710807363,0.5596475583442571,0.9894687554455327,0.629323290742134,0.3049827151212789,0.01083713926695937,0.05531577405687982,0.009523302466351174,0.003768677074589205,0.0027627859065142936,0.017557761124819184,0.0012105762378514812,0.503612884190138,0.32590946756119293,0.27448453570229586,0.025011052737304102,0.1041964200567699,0.6363636304132232,0.08395056444131206,0.4946981342030018,0.07077579071315322,0.3788509438602538,0.5306516726036894,0.08966956512012586,0.09582499586165201,0.6448979591836734,0.039767081716408276,0.9929959726842935,0.1850109453548232,0.2208182661063136,0.4072886414600057,0.18067711894850813,0.31348519415688497,0.07238490636781988,0.4936293239869309,0.5010537657890768,0.09868618484696938,0.5048699392147047,0.5580422069321821,0.0709688599089949,0.31987914950767327,0.34828947483668843,0.0806582922673699,0.07095397876538037,0.46910498853527854,0.1099020909428855,0.0022270866164526095,0.5015864367725295,0.1186658912815716,0.507252474459804,0.05119348531580498,0.4523220421640275,0.4879414462618669,0.5145060307665752,0.5145768669166835,0.13313555945234462,0.16587329505899978,0.6447329117846039,0.5327111851073353,0.9635987514574134,0.7982860206439266,0.7110571430820927,0.3565384997024533
